ID,Title
2340409,2340409/g2-vs-virtuspro-esl-pro-league-season-11-europe
2340600,2340600/goliath-vs-big-5-esea-open-season-33-south-africa
2340603,2340603/tricked-vs-skade-sector-mostbet-season-2
2340363,2340363/dignitas-vs-orgless-flashpoint-1
2340420,2340420/evil-geniuses-vs-furia-esl-pro-league-season-11-north-america
2340364,2340364/geng-vs-mibr-flashpoint-1
2340605,2340605/asterius-vs-red-feet-esea-open-season-33-brazil
2340590,2340590/buffdaddys-paypal-vs-faint-esea-advanced-season-33-north-america
2340598,2340598/blood-sweat-and-tears-vs-ethereal-esea-advanced-season-33-north-america
2340570,2340570/vertex-vs-rooster-lpl-pro-league-season-4
2340601,2340601/mustang-crew-vs-bluejays-lootbet-season-6-closed-qualifier
